##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR292678_2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6111112
1202	18-19	0.16621736280470145
1202	20-21	0.14397784454904183
1202	22-23	0.15799545525129588
1202	24-25	0.16374426576226853
1202	26-27	0.14882204783979347
1202	28-29	0.17978464968159358
1202	30-31	0.16093312181532582
1202	32-33	0.13220952763124671
1202	34-35	0.10661462444939929
1202	36-37	0.11364922001950362
1202	38-39	0.10030771384089121
1202	40-41	0.1338927025635428
1202	42-43	0.11167957721968946
1202	44-45	0.1438409532806375
1202	46-47	0.10423012863210346
1202	48-49	0.07474805227615633
1202	50-51	0.08044688632872976
1202	52-53	0.13603277055212004
1202	54-55	0.11001544516997797
1202	56-57	0.0973992701837858
1202	58-59	0.11753043750247372
1202	60-61	0.06830849606858891
1202	62-63	0.05429533915748408
1202	64-65	0.010570983329500905
1202	66-67	-0.07442602815159205
1202	68-69	-0.10486554674056237
1202	70-71	-0.0884628157127807
1202	72-73	-0.06162193991875142
1202	74-75	-0.1770608136299714
1202	76-77	-0.10834017715872335
1202	78-79	-0.12025110758209223
1202	80-81	-0.15073904857661802
1202	82-83	-0.25518400667123586
1202	84-85	-0.21886150346701783
1202	86-87	-0.28150523712285747
1202	88-89	-0.30270419529189496
1202	90	-0.27466750117019245
1203	1	0.044523697776995164
1203	2	0.08016201945712709
1203	3	0.027521390958575864
1203	4	0.04894867790750368
1203	5	0.0356143884154676
1203	6	0.05118891066475584
1203	7	0.04716085102365497
1203	8	0.006922844859452937
1203	9	0.07957432084640459
1203	10-11	0.06462738635213583
1203	12-13	0.05975785280701018
1203	14-15	0.038199971038046954
1203	16-17	0.054913062007877045
1203	18-19	0.06337744295861825
1203	20-21	0.06692667138129593
1203	22-23	0.08099866168504377
1203	24-25	0.08608327905074731
1203	26-27	0.10440363479127512
1203	28-29	0.06353281509164077
1203	30-31	0.08298186810574038
1203	32-33	0.07416310153715955
1203	34-35	0.047336563882289795
1203	36-37	0.04005036644772275
1203	38-39	0.033985093404503175
1203	40-41	0.06557656750077712
1203	42-43	0.017159378488223354
1203	44-45	0.06734299730710092
1203	46-47	0.033353199253078
1203	48-49	0.03143911009910738
1203	50-51	0.03111468168962972
1203	52-53	0.060452017190286256
1203	54-55	0.03473524590279453
1203	56-57	0.024719351058145378
1203	58-59	-0.002650813981126987
1203	60-61	0.027253247778951106
1203	62-63	0.010067704991122639
1203	64-65	0.002499203179183951
1203	66-67	-0.01778548216653064
1203	68-69	-0.06875459341881651
1203	70-71	-0.07439203032816977
1203	72-73	-0.0459659833780961
1203	74-75	-0.04350496266194881
1203	76-77	-0.07234409064273706
1203	78-79	-0.04351643293143326
1203	80-81	-0.0941838358473106
1203	82-83	-0.15505077087481567
1203	84-85	-0.18191573667076
1203	86-87	-0.09642121544305837
1203	88-89	-0.17837950681428083
1203	90	-0.12292936285064826
1204	1	0.0503760662573427
1204	2	0.04368764531686509
1204	3	0.05916784702799305
1204	4	0.07792175400161483
1204	5	0.03447240054129708
1204	6	0.06019332128665411
1204	7	-0.011882984769613358
1204	8	0.028883036397161277
1204	9	-0.032312582382559185
1204	10-11	0.04533257478742314
1204	12-13	-0.042470894990835006
1204	14-15	0.0022663758194880756
1204	16-17	-0.026516778270796237
1204	18-19	-0.05649152639754362
1204	20-21	0.040364182591190456
1204	22-23	0.06778826848940867
1204	24-25	0.07373311064491617
1204	26-27	0.06489643823205427
1204	28-29	0.07362923582127223
1204	30-31	0.08603781744800898
1204	32-33	0.06476347575159735
1204	34-35	0.10831969740489455
1204	36-37	0.05729026250287461
1204	38-39	0.09640858983906497
1204	40-41	0.11838574925904055
1204	42-43	0.04760681896439678
1204	44-45	0.07376854329257299
1204	46-47	0.06915094802089072
1204	48-49	0.1408492895105411
1204	50-51	0.10005764674124862
1204	52-53	0.09297451079295627
1204	54-55	0.09271900597025962
1204	56-57	0.053754963441399184
1204	58-59	0.04528375193049783
1204	60-61	0.05038121390960981
1204	62-63	0.04571491813157991
1204	64-65	0.03965486704063892
1204	66-67	0.04837368274303344
1204	68-69	0.02329663170613827
1204	70-71	6.808001700235877E-4
1204	72-73	0.06940150016222901
1204	74-75	0.05752723348701494
1204	76-77	0.07147954679637536
1204	78-79	0.09625866870016608
1204	80-81	0.019347011677808723
1204	82-83	0.045828123679420685
1204	84-85	0.04246657745753879
1204	86-87	0.11343574157444891
1204	88-89	0.0540731462837698
1204	90	0.131838893475539
1205	1	-0.050699113186766454
1205	2	0.014897069244625527
1205	3	0.02185834332760095
1205	4	-0.003274684652190274
1205	5	0.002905892228746154
1205	6	-0.007065852082234869
